nombre,grupo
"ABAD BENEDICTO, ENRIQUE",GPS
"ACEDO PENCO, PEDRO",GPP
"AGRAMUNT FONT DE MORA, PEDRO",GPP
"AGÜERO RUANO, MARÍA DEL MAR",GPP
"AGUIRRE MUÑOZ, JESÚS RAMÓN",GPP
"AIARTZA AZURTZA, URKO",GPMX
"ALARCÓ HERNÁNDEZ, ANTONIO",GPP
"ALBORCH BATALLER, CARMEN",GPS
"ALIQUE LÓPEZ, JESÚS",GPS
"ALMIÑANA RIQUÉ, MÓNICA",GPEPC
"ALMODÓBAR BARCELÓ, AGUSTÍN",GPP
"ALTAVA LAVALL, MANUEL GUILLERMO",GPP
"ALTURO LLOAN, RAMON",GPCIU
"ÁLVAREZ ARECES, VICENTE ALBERTO",GPS
"ÁLVAREZ OTEO, MARÍA ELOÍSA",GPS
"ÁLVAREZ VILLAZÁN, EMILIO",GPS
"ANASAGASTI OLABEAGA, IÑAKI MIRENA",GPV
"ANDRÉS PRIETO, RAQUEL MIRIAM",GPS
"ÁNGEL BATALLA, JOSÉ MARÍA",GPS
"ANGULO MARTÍNEZ, MARÍA DEL MAR",GPP
"ANTICH OLIVER, FRANCESC",GPS
"ANTÓN RODRIGO, ABEL",GPP
"APARICI MOYA, VICENTE",GPP
"ARAGÓN AMUNÁRRIZ, MARÍA DEL CARMEN DE",GPP
"ARENAS BOCANEGRA, FRANCISCO JAVIER",GPP
"ARIAS NAVIA, MARIO",GPP
"ARMISÉN PEDREJÓN, MARÍA DE LOS ÁNGELES",GPP
"AROCA SÁEZ, VICENTE",GPP
"ARRUFAT GASCÓN, ANTONIO ERNESTO",GPS
"AYLLÓN MORENO, ANTONIO",GPP
"AZNAR FERNÁNDEZ, LUIS",GPP
"AZUARA NAVARRO, CARMEN",GPP
"BAGUÉ ROURA, JOAN BAPTISTA",GPCIU
"BARREIRO FERNÁNDEZ, JOSÉ MANUEL",GPP
"BARRIONUEVO GENER, AVELINO DE",GPP
"BECANA SANAHUJA, JOSÉ MARÍA",GPS
"BEL ACCENSI, FERRAN",GPCIU
"BELLOCH JULBE, JUAN ALBERTO",GPS
"BENÍTEZ DE LUGO MASSIEU, FRANCISCO DE BORJA",GPP
"BILDARRATZ SORRON, JOKIN",GPV
"BLASCO MARQUES, MANUEL",GPP
"BOSCH LLITERAS, LORENZO",GPP
"BOYA ALÓS, FRANCISCO",GPEPC
"BRUGUERA BATALLA, RAFEL",GPEPC
"BURGOS BETETA, TOMÁS PEDRO",GPP
"BURGOS GARCÍA, JOSÉ MARÍA",GPS
"CAMACHO SÁNCHEZ, JOSÉ MIGUEL",GPS
"CAMPOY SUÁREZ, MIGUEL ANTONIO",GPP
"CANALS LIZANO, RICARDO LUIS GABRIEL",GPP
"CANDINI I PUIG, MONTSERRAT",GPCIU
"CAPELLA I FARRÉ, ESTER",GPMX
"CASCALLANA GALLASTEGUI, ENRIQUE",GPS
"CASERO ÁVILA, ALBERTO",GPP
"CASTOSA ALVARIÑO, ARMANDO",GPP
"CAZALIS EIGUREN, JOSÉ MARÍA",GPV
"CHIQUILLO BARBER, JOSÉ MARÍA",GPP
"CHIVITE NAVASCUÉS, MARÍA VICTORIA",GPS
"CLERIES I GONZÀLEZ, JOSEP LLUÍS",GPCIU
"CONDE VÁZQUEZ, MATÍAS",GPP
"CONTRERAS OLMEDO, MARÍA BEGOÑA",GPP
"CORNEJO LÓPEZ, JUAN MARÍA",GPS
"COTILLAS LÓPEZ, CARLOS MANUEL",GPP
"COVES BOTELLA, FUENSANTA",GPS
"CUEVAS CUERDA, DIMAS FRANCISCO",GPP
"CUNYAT BADOSA, CORALÍ",GPCIU
"DELGADO VÍLCHEZ, FRANCISCO",GPP
"DÍAZ TEJERA, ARCADIO",GPS
"DIEGO CASTELLANOS, MARÍA ELENA",GPS
"DOMÍNGUEZ AZPELETA, MARTA",GPP
"DOMÍNGUEZ HORMIGA, SANDRA",GPMX
"DUEÑAS MARTÍNEZ, MARÍA DEL CARMEN",GPP
"DURÁN SÁNCHEZ, JUAN PABLO",GPS
"DURÁN VADELL, MARGARITA",GPP
"ELENA NÚÑEZ, PABLO",GPP
"ELORRIAGA PISARIK, BEATRIZ MARÍA",GPP
"ESPAÑA MOYA, JULIO FRANCISCO DE",GPP
"EZA GOYENECHE, PEDRO",GPMX
"FERNÁNDEZ BLANCO, JOSÉ",GPS
"FERNÁNDEZ CUEVA LOMINCHAR, JULIANA",GPP
"FERNÁNDEZ DE MOYA ROMERO, JOSÉ ENRIQUE",GPP
"FERNÁNDEZ ORTEGA, JUAN MANUEL",GPS
"FERNÁNDEZ PENA, PAULA MARÍA",GPS
"FERNÁNDEZ PÉREZ, FRANCISCO JOSÉ",GPP
"FERNÁNDEZ ROZADA, ISIDRO",GPP
"FERNÁNDEZ SÁNCHEZ, JOSÉ BLAS",GPP
"FERRADA GÓMEZ, ALFONSO GUSTAVO",GPP
"FIDALGO AREDA, MIGUEL",GPS
"FLORES FERNÁNDEZ, MARÍA ISABEL",GPS
"FRANCO GONZÁLEZ, SILVIA",GPP
"FUENTES CURBELO, DOMINGO FRANCISCO",GPS
"FUENTES GALLARDO, FRANCISCO",GPS
"FÚNEZ DE GREGORIO, MARÍA DEL CARMEN",GPP
"FUSTER MUNIESA, JOSÉ MARÍA",GPP
"GALVÁN PORRAS, ANTONIO",GPP
"GARAU JUAN, MARIA ANTÒNIA",GPP
"GARCÍA CARNERO, DIONISIO",GPP
"GARCÍA CARRASCO, CATALINA MONTSERRAT",GPP
"GARCÍA DEL BLANCO, IBÁN",GPS
"GARCÍA MARTÍNEZ, SEBASTIÁN",GPP
"GARCÍA ROMERO, MARÍA ÁNGELES",GPP
"GARCÍA-ESCUDERO MÁRQUEZ, PÍO",GPP
"GARCÍA-PAGE SÁNCHEZ, EMILIANO",GPS
"GARCÍA-PELAYO JURADO, MARÍA JOSÉ",GPP
"GIL GARCÍA, ANDRÉS",GPS
"GIL MORATA, MARÍA",GPP
"GOIOAGA LLANO, IÑAKI",GPMX
"GONZÁLEZ BETHENCOURT, JOSÉ VICENTE",GPS
"GONZÁLEZ GARCÍA, ANA LOURDES",GPP
"GONZÁLEZ GARCÍA, ANA MARÍA",GPP
"GONZÁLEZ SANZ, TAMARA",GPP
